,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
34,0,1,male,,1,0,-0.0944336828303662,C,First,man,True,Cherbourg,no,False,1
35,0,1,male,0.19669816183738545,1,0,-1.08609159296498,S,First,man,True,Southampton,no,False,1
36,1,3,male,-2.562111192710642,0,0,,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
38,0,3,female,,2,0,,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,,1,0,,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,0.031484904179183065,1,0,,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,,1,0,,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,-2.562111192710642,0,0,,C,Third,man,True,Cherbourg,no,True,0
43,1,2,female,,1,2,-1.9672175611756404,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,-2.562111192710642,0,0,,S,Third,man,True,Southampton,no,True,0
46,0,3,male,-2.562111192710642,1,0,,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,-2.562111192710642,2,0,,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,,1,0,,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,,4,1,-2.263759208875291,S,Third,child,False,Southampton,no,False,5
51,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
52,1,1,female,0.6239279173679113,1,0,-0.21485519317714544,C,First,woman,False,Cherbourg,yes,False,1
53,1,2,female,-4.395173540346584,1,0,,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,-2.562111192710642,0,0,-3.708265835293191,S,First,man,True,Southampton,yes,True,0
56,1,2,female,,0,0,,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,,0,0,,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,,1,2,,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,,5,2,-1.4238565757225705,S,Third,child,False,Southampton,no,False,7
60,0,3,male,,0,0,,C,Third,man,True,Cherbourg,no,True,0
61,1,1,female,-0.1665327871252423,0,0,-0.1407494620281644,S,First,woman,False,Southampton,yes,True,0
62,0,1,male,0.40243561794230204,1,0,-0.06760520231778049,S,First,man,True,Southampton,no,False,1
63,0,3,male,,3,2,,S,Third,child,False,Southampton,no,False,5
64,0,1,male,-2.562111192710642,0,0,,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,-2.562111192710642,1,1,,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,-4.395173540346584,0,0,,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
68,1,3,female,,4,2,,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,,2,0,,S,Third,man,True,Southampton,no,False,2
70,0,2,male,-1.2364173289037685,0,0,,S,Second,man,True,Southampton,no,True,0
71,0,3,female,,5,2,-1.4238565757225705,S,Third,woman,False,Southampton,no,False,7
72,0,2,male,,0,0,-0.2938360002041882,S,Second,man,True,Southampton,no,True,0
73,0,3,male,,1,0,,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,-1.2364173289037685,0,0,-0.8608071223909797,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
79,1,3,female,-2.2534891842429254,0,0,,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
81,1,3,male,-4.395173540346584,0,0,,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,-2.562111192710642,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,,0,0,-1.4082221382696125,S,First,man,True,Southampton,no,True,0
84,1,2,female,,0,0,,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,-0.9594116828456197,3,0,,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,,1,3,-5.751439024864628,S,Third,man,True,Southampton,no,False,4
88,1,1,female,,3,2,1.4679450997284458,S,First,woman,False,Southampton,yes,False,5
89,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
90,0,3,male,-4.395173540346584,0,0,,S,Third,man,True,Southampton,no,True,0
91,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
92,0,1,male,0.4625748604158625,1,0,-0.6702368275240055,S,First,man,True,Southampton,no,False,1
93,0,3,male,,1,2,,S,Third,man,True,Southampton,no,False,3
97,1,1,male,,0,1,-0.5923870027628635,C,First,man,True,Cherbourg,yes,False,1
98,1,2,female,-0.742729132601683,0,1,,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,-0.742729132601683,1,0,,S,Second,man,True,Southampton,no,False,1
100,0,3,female,,0,0,,S,Third,woman,False,Southampton,no,True,0
102,0,1,male,,0,1,-0.2018108851350293,S,First,man,True,Southampton,no,False,1
103,0,3,male,-0.9594116828456197,0,0,,S,Third,man,True,Southampton,no,True,0
104,0,3,male,-0.28249595670693367,2,0,,S,Third,man,True,Southampton,no,False,2
105,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
106,1,3,female,,0,0,,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,-2.562111192710642,0,0,,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,-0.1665327871252423,0,0,,S,Third,man,True,Southampton,no,True,0
109,1,3,female,-2.562111192710642,1,0,,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,0.5193016280802352,0,0,-1.08609159296498,S,First,man,True,Southampton,no,True,0
111,0,3,female,,1,0,,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
113,0,3,female,,1,0,,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,,0,0,,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
117,0,2,male,-4.395173540346584,1,0,,S,Second,man,True,Southampton,no,False,1
118,0,1,male,,0,1,1.3978916083149917,C,First,man,True,Cherbourg,no,False,1
120,0,2,male,,2,0,-0.2938360002041882,S,Second,man,True,Southampton,no,False,2
122,0,2,male,-1.088353499645646,1,0,,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,-1.088353499645646,0,0,,S,Second,woman,False,Southampton,yes,True,0
124,0,1,male,0.8457485011818465,0,1,-0.2018108851350293,S,First,man,True,Southampton,no,False,1
125,1,3,male,,1,0,,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,-2.562111192710642,0,0,,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,-2.562111192710642,1,1,,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,0.40243561794230204,0,0,,S,Third,man,True,Southampton,no,True,0
130,0,3,male,-0.9594116828456197,0,0,,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
132,0,3,female,0.5193016280802352,1,0,,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
135,0,2,male,,0,0,,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,,0,2,,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,-0.28249595670693367,1,0,-1.0261037067608392,S,First,man,True,Southampton,no,False,1
138,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
139,0,1,male,,0,0,-0.15837396183498045,C,First,man,True,Cherbourg,no,True,0
140,0,3,female,-2.562111192710642,0,2,,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,,0,0,,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,,1,0,,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,,0,0,,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
145,0,2,male,,1,1,-3.031709276190341,S,Second,man,True,Southampton,no,False,2
146,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,,2,2,-5.751439024864628,S,Third,child,False,Southampton,no,False,4
148,0,2,male,-0.34594414579907756,0,2,,S,Second,man,True,Southampton,no,False,2
149,0,2,male,0.19669816183738545,0,0,,S,Second,man,True,Southampton,no,True,0
150,0,2,male,0.7186369652720348,0,0,,S,Second,man,True,Southampton,no,True,0
151,1,1,female,,1,0,-0.4869425619072791,S,First,woman,False,Southampton,yes,False,1
153,0,3,male,0.07541677644813644,0,2,,S,Third,man,True,Southampton,no,False,2
154,0,3,male,-2.562111192710642,0,0,,S,Third,man,True,Southampton,no,True,0
155,0,1,male,0.7186369652720348,0,1,-0.6626932837973565,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,-2.2534891842429254,0,0,,S,Third,man,True,Southampton,no,True,0
158,0,3,male,-2.562111192710642,0,0,,S,Third,man,True,Southampton,no,True,0
159,0,3,male,-2.562111192710642,8,2,-0.39978335848161883,S,Third,man,True,Southampton,no,False,10
160,0,3,male,0.33844690873787375,0,1,,S,Third,man,True,Southampton,no,False,1
161,1,2,female,0.031484904179183065,0,0,,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
163,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
165,1,3,male,,0,2,,S,Third,child,False,Southampton,yes,False,2
166,1,1,female,-2.562111192710642,0,1,-0.9302765447418307,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,0.40243561794230204,1,4,,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,-2.562111192710642,0,0,,S,First,man,True,Southampton,no,True,0
169,0,3,male,,0,0,-0.8608071223909797,S,Third,man,True,Southampton,no,True,0
171,0,3,male,,4,1,,Q,Third,child,False,Queenstown,no,False,5
175,0,3,male,,1,1,,S,Third,man,True,Southampton,no,False,2
176,0,3,male,-2.562111192710642,3,1,,S,Third,man,True,Southampton,no,False,4
177,0,1,female,0.6724032479909003,0,0,,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,-2.2534891842429254,0,0,,S,Second,man,True,Southampton,no,True,0
179,0,3,male,-0.41369237748654564,0,0,,S,Third,man,True,Southampton,no,True,0
180,0,3,female,-2.562111192710642,8,2,-0.39978335848161883,S,Third,woman,False,Southampton,no,False,10
181,0,2,male,-2.562111192710642,0,0,,C,Second,man,True,Cherbourg,no,True,0
182,0,3,male,,4,2,,S,Third,child,False,Southampton,no,False,6
184,1,3,female,,0,2,,S,Third,child,False,Southampton,yes,False,2
185,0,1,male,-2.562111192710642,0,0,-1.2053332268061814,S,First,man,True,Southampton,no,True,0
186,1,3,female,-2.562111192710642,1,0,,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,0.40243561794230204,0,0,,S,First,man,True,Southampton,yes,True,0
188,0,3,male,0.031484904179183065,1,1,,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,-0.41369237748654564,0,0,,S,Third,man,True,Southampton,no,True,0
190,1,2,female,-1.2364173289037685,0,0,,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
192,1,3,female,,1,0,,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,,1,1,,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,0.33844690873787375,0,0,,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,0.19669816183738545,0,1,,S,Third,man,True,Southampton,no,False,1
199,0,2,female,,0,0,,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
202,0,3,male,-0.742729132601683,0,0,,S,Third,man,True,Southampton,no,True,0
203,0,3,male,0.4329572621273905,0,0,,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,-1.2364173289037685,1,0,,S,Third,man,True,Southampton,no,False,1
207,1,3,male,,0,0,,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,0.031484904179183065,0,0,,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
211,1,2,female,-0.5647382184268394,0,0,,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
214,0,3,male,-2.562111192710642,1,0,,Q,Third,man,True,Queenstown,no,False,1
215,1,1,female,-1.6208655753526766,1,0,0.40543182056258875,C,First,woman,False,Cherbourg,yes,False,1
216,1,3,female,,0,0,,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,0.19669816183738545,1,0,,S,Second,man,True,Southampton,no,False,1
218,1,1,female,-1.2364173289037685,0,0,-0.22519734537074898,C,First,woman,False,Cherbourg,yes,True,0
219,0,2,male,-2.2534891842429254,0,0,,S,Second,man,True,Southampton,no,True,0
220,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
222,0,3,male,0.7186369652720348,0,0,,S,Third,man,True,Southampton,no,True,0
224,1,1,male,-0.1665327871252423,1,0,0.05676953408627249,S,First,man,True,Southampton,yes,False,1
225,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
226,1,2,male,,0,0,,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
228,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
229,0,3,female,-2.562111192710642,3,1,,S,Third,woman,False,Southampton,no,False,4
230,1,1,female,-0.5647382184268394,1,0,-0.06760520231778049,S,First,woman,False,Southampton,yes,False,1
231,0,3,male,-4.395173540346584,0,0,,S,Third,man,True,Southampton,no,True,0
233,1,3,female,,4,2,,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
235,0,3,female,-2.562111192710642,0,0,,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,0.33844690873787375,1,0,,S,Second,man,True,Southampton,no,False,1
237,1,2,female,,0,2,,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
239,0,2,male,-0.9594116828456197,0,0,,S,Second,man,True,Southampton,no,True,0
240,0,3,female,-2.562111192710642,1,0,,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,-4.395173540346584,0,0,,S,Second,man,True,Southampton,no,True,0
243,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
244,0,3,male,-2.2534891842429254,0,0,,C,Third,man,True,Cherbourg,no,True,0
245,0,1,male,0.33844690873787375,2,0,0.05676953408627249,Q,First,man,True,Queenstown,no,False,2
246,0,3,female,,0,0,,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,,0,2,,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,-0.28249595670693367,1,1,-1.0554189491963653,S,First,man,True,Southampton,yes,False,2
249,0,2,male,0.8457485011818465,1,0,,S,Second,man,True,Southampton,no,False,1
250,0,3,male,-2.562111192710642,0,0,,S,Third,man,True,Southampton,no,True,0
251,0,3,female,-4.395173540346584,1,1,,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,-2.2534891842429254,1,0,,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.1174995872015517,0,2,,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,-4.395173540346584,0,2,,C,Third,woman,False,Cherbourg,yes,False,2
256,1,1,female,-2.562111192710642,0,0,-0.15837396183498045,C,First,woman,False,Cherbourg,yes,True,0
257,1,1,female,-2.2534891842429254,0,0,-0.008016919437520954,S,First,woman,False,Southampton,yes,True,0
258,1,1,female,-0.5647382184268394,0,0,2.2049948454036215,C,First,woman,False,Cherbourg,yes,True,0
259,1,2,female,0.6724032479909003,0,1,,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,,4,2,,S,Third,child,False,Southampton,yes,False,6
262,0,1,male,0.7628272533934943,1,1,-0.14842198804352294,S,First,man,True,Southampton,no,False,2
263,0,1,male,0.031484904179183065,0,0,,S,First,man,True,Southampton,no,True,0
264,0,3,female,-2.562111192710642,0,0,,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,-0.41369237748654564,0,0,,S,Second,man,True,Southampton,no,True,0
266,0,3,male,,4,1,-2.263759208875291,S,Third,man,True,Southampton,no,False,5
267,1,3,male,,1,0,,S,Third,man,True,Southampton,yes,False,1
269,1,1,female,-0.5647382184268394,0,0,0.654457304186821,S,First,woman,False,Southampton,yes,True,0
270,0,1,male,-2.562111192710642,0,0,,S,First,man,True,Southampton,no,True,0
271,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,0.1174995872015517,0,1,,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,-0.28249595670693367,0,1,,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,0.40243561794230204,0,0,,S,Third,woman,False,Southampton,no,True,0
277,0,2,male,-2.562111192710642,0,0,,S,Second,man,True,Southampton,no,True,0
278,0,3,male,,4,1,,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,-0.5647382184268394,1,1,,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
282,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
283,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
284,0,1,male,-2.562111192710642,0,0,,S,First,man,True,Southampton,no,True,0
285,0,3,male,-0.9594116828456197,0,0,,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,-2.2534891842429254,0,0,,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
288,1,2,male,0.19669816183738545,0,0,,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
290,1,1,female,,0,0,-0.1661834450208444,S,First,woman,False,Southampton,yes,True,0
291,1,1,female,,1,0,0.07592792435394181,C,First,woman,False,Cherbourg,yes,False,1
292,0,2,male,-0.41369237748654564,0,0,,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,,0,0,,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
296,0,3,male,,0,0,,C,Third,man,True,Cherbourg,no,True,0
298,1,1,male,-2.562111192710642,0,0,,S,First,man,True,Southampton,yes,True,0
299,1,1,female,0.6724032479909003,0,1,1.3978916083149917,C,First,woman,False,Cherbourg,yes,False,1
301,1,3,male,-2.562111192710642,2,0,,Q,Third,man,True,Queenstown,yes,False,2
302,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
303,1,2,female,-2.562111192710642,0,0,,Q,Second,woman,False,Queenstown,yes,True,0
306,1,1,female,-2.562111192710642,0,0,0.3747160595720194,C,First,woman,False,Cherbourg,yes,True,0
307,1,1,female,,1,0,0.3485096132706812,C,First,woman,False,Cherbourg,yes,False,1
308,0,2,male,-2.2534891842429254,1,0,,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,-2.2534891842429254,0,0,-0.8415486136623473,C,First,woman,False,Cherbourg,yes,True,0
310,1,1,female,,0,0,-0.0740541202449405,C,First,woman,False,Cherbourg,yes,True,0
311,1,1,female,,2,2,1.4652096292430241,C,First,woman,False,Cherbourg,yes,False,4
312,0,2,female,,1,1,,S,Second,woman,False,Southampton,no,False,2
314,0,2,male,0.270082023813802,1,1,,S,Second,man,True,Southampton,no,False,2
315,1,3,female,,0,0,,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,,1,0,,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,0.8457485011818465,0,0,,S,Second,man,True,Southampton,no,True,0
318,1,1,female,-1.6208655753526766,0,2,0.9077221389822522,S,First,woman,False,Southampton,yes,False,2
319,1,1,female,0.031484904179183065,1,1,0.6432207278194958,C,First,woman,False,Cherbourg,yes,False,2
321,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
322,1,2,female,-2.2534891842429254,0,0,,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,,1,1,,S,Second,woman,False,Southampton,yes,False,2
325,1,1,female,-0.41369237748654564,0,0,0.654457304186821,C,First,woman,False,Cherbourg,yes,True,0
327,1,2,female,-0.41369237748654564,0,0,,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,-1.6208655753526766,1,1,,S,Third,woman,False,Southampton,yes,False,2
329,1,1,female,,0,1,-0.7963732973706742,C,First,woman,False,Cherbourg,yes,False,1
330,1,3,female,-2.562111192710642,2,0,,Q,Third,woman,False,Queenstown,yes,False,2
331,0,1,male,0.4329572621273905,0,0,,S,First,man,True,Southampton,no,True,0
332,0,1,male,-0.1665327871252423,0,1,0.8163938149020327,S,First,man,True,Southampton,no,False,1
333,0,3,male,,2,0,,S,Third,man,True,Southampton,no,False,2
334,1,1,female,-2.562111192710642,1,0,0.6347094018996644,S,First,woman,False,Southampton,yes,False,1
336,0,1,male,-4.395173540346584,1,0,-0.4869425619072791,S,First,man,True,Southampton,no,False,1
337,1,1,female,0.1174995872015517,0,0,0.6432207278194958,C,First,woman,False,Cherbourg,yes,True,0
338,1,3,male,0.40243561794230204,0,0,,S,Third,man,True,Southampton,yes,True,0
339,0,1,male,0.40243561794230204,0,0,-3.708265835293191,S,First,man,True,Southampton,no,True,0
341,1,1,female,,3,2,1.4679450997284458,S,First,woman,False,Southampton,yes,False,5
342,0,2,male,,0,0,,S,Second,man,True,Southampton,no,True,0
344,0,2,male,-0.41369237748654564,0,0,,S,Second,man,True,Southampton,no,True,0
345,1,2,female,,0,0,,S,Second,woman,False,Southampton,yes,True,0
346,1,2,female,0.031484904179183065,0,0,,S,Second,woman,False,Southampton,yes,True,0
347,1,3,female,-2.562111192710642,1,0,,S,Third,woman,False,Southampton,yes,False,1
348,1,3,male,,1,1,,S,Third,child,False,Southampton,yes,False,2
349,0,3,male,0.19669816183738545,0,0,,S,Third,man,True,Southampton,no,True,0
350,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
351,0,1,male,-2.562111192710642,0,0,-4.197390301724179,S,First,man,True,Southampton,no,True,0
352,0,3,male,,1,1,,C,Third,child,False,Cherbourg,no,False,2
353,0,3,male,,1,0,,S,Third,man,True,Southampton,no,False,1
356,1,1,female,,0,1,-0.9302765447418307,S,First,woman,False,Southampton,yes,False,1
357,0,2,female,-0.1665327871252423,0,0,,S,Second,woman,False,Southampton,no,True,0
360,0,3,male,0.031484904179183065,1,4,,S,Third,man,True,Southampton,no,False,5
361,0,2,male,-4.395173540346584,1,0,,C,Second,man,True,Cherbourg,no,False,1
362,0,3,female,0.40243561794230204,0,1,,C,Third,woman,False,Cherbourg,no,False,1
363,0,3,male,-0.5647382184268394,0,0,,S,Third,man,True,Southampton,no,True,0
365,0,3,male,-2.2534891842429254,0,0,,S,Third,man,True,Southampton,no,True,0
367,1,3,female,-2.562111192710642,0,0,,C,Third,woman,False,Cherbourg,yes,True,0
369,1,1,female,,0,0,-0.40688212494514675,C,First,woman,False,Cherbourg,yes,True,0
370,1,1,male,,1,0,-0.9092558341916211,C,First,man,True,Cherbourg,yes,False,1
371,0,3,male,,1,0,,S,Third,man,True,Southampton,no,False,1
372,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
373,0,1,male,,0,0,0.654457304186821,C,First,man,True,Cherbourg,no,True,0
374,0,3,female,,3,1,,S,Third,child,False,Southampton,no,False,4
375,1,1,female,-2.562111192710642,1,0,-0.0944336828303662,C,First,woman,False,Cherbourg,yes,False,1
376,1,3,female,,0,0,,S,Third,woman,False,Southampton,yes,True,0
377,0,1,male,,0,2,1.2129305747478625,C,First,man,True,Cherbourg,no,False,2
378,0,3,male,,0,0,,C,Third,man,True,Cherbourg,no,True,0
379,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
380,1,1,female,0.19669816183738545,0,0,1.2994635627802045,C,First,woman,False,Cherbourg,yes,True,0
382,0,3,male,-1.2364173289037685,0,0,,S,Third,man,True,Southampton,no,True,0
383,1,1,female,-0.5647382184268394,1,0,-1.08609159296498,S,First,woman,False,Southampton,yes,False,1
385,0,2,male,,0,0,-0.2938360002041882,S,Second,man,True,Southampton,no,True,0
388,0,3,male,-2.562111192710642,0,0,,Q,Third,man,True,Queenstown,no,True,0
389,1,2,female,,0,0,,C,Second,woman,False,Cherbourg,yes,True,0
390,1,1,male,-0.41369237748654564,1,2,0.48706145883464785,S,First,man,True,Southampton,yes,False,3
391,1,3,male,,0,0,,S,Third,man,True,Southampton,yes,True,0
392,0,3,male,,2,0,,S,Third,man,True,Southampton,no,False,2
393,1,1,female,,1,0,0.40543182056258875,C,First,woman,False,Cherbourg,yes,False,1
394,1,3,female,,0,2,,S,Third,woman,False,Southampton,yes,False,2
395,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
396,0,3,female,-1.6208655753526766,0,0,,S,Third,woman,False,Southampton,no,True,0
